avf_D6_MDS,iii_D5_MDS,iii_D6_MDS,avf_D5_MDS,avf_D6_LEE,iii_D6_LEE,ii_D6_MDS,ii_D5_MDS,iii_D5_LEE,ii_D6_LEE
0.21573755536601574,0.7169374023940042,0.31622767927033113,0.5180395820249014,-16750.91235944386,-16085.814472830203,0.2590994581678081,0.5080304558725183,-13052.020052684496,-16651.079732945233
0.2315667683869965,0.850180105933001,0.33819315219149104,0.5534604539835127,-16700.641539717726,-15790.969264904585,0.26509402007413313,0.4687507015828698,-12890.47125276283,-16661.44502144242
0.25275341733394224,0.8145935033032193,0.3777067780398858,0.5929190522807478,-16417.48556942225,-15677.857548978478,0.32953641290161145,0.5528105438675467,-12900.886124162675,-16231.493985767082
0.24455772721840832,0.8081592956231747,0.3565070122871273,0.518699723365039,-16735.412292208275,-15896.673633378552,0.30516393815612974,0.4998662334370677,-12845.682760880187,-16310.127767174668
0.2593736683355147,0.808895500248704,0.3514664827255146,0.5702420646188466,-16575.860555093488,-15779.648833599716,0.2915455652939175,0.4860532356045381,-12720.5709700146,-16411.547441814575
0.2665111819358603,0.8522528557087524,0.3818416283734231,0.5722709576196258,-16443.0418533129,-15628.241110112705,0.32208299909413773,0.47480336652129096,-12869.125348995443,-16156.944454918063
0.26235493550567474,0.7361752938563666,0.35445208647873583,0.5400501645550693,-16477.218670191785,-15947.807521805738,0.30567284704962955,0.5324754460382093,-12890.603797417705,-16343.7773184941
0.2752931958097159,0.715739015216996,0.3984662551233085,0.5350364197540174,-16391.397734217717,-15733.413982603575,0.33698007515634787,0.5021015964641277,-13067.434498995455,-16149.525903094145
0.269475758650733,0.7581719781194546,0.3506089307121878,0.5487588449111638,-16419.255396277684,-15869.92440885799,0.33527931268402045,0.5216947399909323,-13002.196561030425,-16169.257699985577
0.2709512018552543,0.8088768033583946,0.39228791490361986,0.5688596423567159,-16439.393119320288,-15775.152636585703,0.35774289625544253,0.5851186777875048,-12833.053032516264,-15880.188678718889
0.2928484538294602,0.8400643907458287,0.35502129099253255,0.6021819311961248,-16356.774232202846,-15792.344329914858,0.35214731439103547,0.5775577567843291,-12969.934954823486,-16182.572561689789
0.2783279788074797,0.8216851550981528,0.3510095626544941,0.5761963031883062,-16492.505246851964,-15786.429779008999,0.35250425284996406,0.5477028128861221,-12842.159723972021,-16055.07334933461
0.28470290138637594,0.47045065946732584,0.3015496817328671,0.4585833441912579,-16432.979631260918,-16399.494041879774,0.4612509452162422,0.7522459876691941,-13695.331680313673,-15481.802878844006
0.35777981061154873,0.6162706251085783,0.3948735639689653,0.5977763135059375,-16016.468711754853,-15827.567310753284,0.5392098765243175,0.8456805380030176,-13224.80060496853,-15076.907499455425
0.4759568513794593,0.8942546046268974,0.6036733398300533,0.6916558399969589,-15485.92432707945,-15014.79369874298,0.7011751730035554,1.0741514847416833,-12453.046266827685,-14646.667704484342
0.5776058362598809,0.9689662253712263,0.72761846963584,0.8379513521623672,-15061.838620319373,-14449.450704824092,0.6942384716676625,1.178154411099279,-12315.47605868119,-14584.402110858256
0.53461901518015,1.0056698705546459,0.7096778167584916,0.8917768322181565,-15170.281419639443,-14580.3974019923,0.6162934371358199,1.1683785734933605,-12195.694460426152,-14843.533256591445
0.5267533175833411,0.7779512923327857,0.6793758025667197,0.7084913796093685,-15195.000703424146,-14616.132137958091,0.6484832207274155,1.1509719553933828,-12804.154798951602,-14622.730371978188
0.5006440687712992,0.8308158044693416,0.5723800529925646,0.8090452730887563,-15434.276690159808,-15025.032879875333,0.6397281343915427,1.1438888966740914,-12762.245197052209,-14793.709532237606
